"","X","V3.1","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","solubility"
"2557",2557,0.0780346820809249,0.0375722543352601,0.0404624277456647,0.0317919075144509,0.0260115606936416,0.0867052023121387,0.0375722543352601,0.0491329479768786,0.0317919075144509,0.0635838150289017,0.0895953757225433,0.0751445086705202,0.0317919075144509,0.0578034682080925,0.0317919075144509,0.0867052023121387,0.0260115606936416,0.0346820809248555,0.0520231213872832,0.0317919075144509,0.05
"156",156,0.0951086956521739,0.0597826086956522,0.0434782608695652,0.0597826086956522,0.00543478260869565,0.0516304347826087,0.0516304347826087,0.0733695652173913,0.00543478260869565,0.0244565217391304,0.0923913043478261,0.0597826086956522,0.0298913043478261,0.046195652173913,0.0543478260869565,0.0679347826086956,0.0516304347826087,0.0434782608695652,0.0326086956521739,0.0516304347826087,0.06
"883",883,0.136363636363636,0.0656565656565657,0.0353535353535354,0.0656565656565657,0.00757575757575758,0.0404040404040404,0.0252525252525253,0.0909090909090909,0.0151515151515152,0.0555555555555556,0.108585858585859,0.0353535353535354,0.0378787878787879,0.0277777777777778,0.0505050505050505,0.0555555555555556,0.0378787878787879,0.0176767676767677,0.0277777777777778,0.0631313131313131,0.04
"2325",2325,0.0885714285714286,0.0642857142857143,0.03,0.03,0.0142857142857143,0.0471428571428571,0.0585714285714286,0.0485714285714286,0.0357142857142857,0.0557142857142857,0.164285714285714,0.0314285714285714,0.03,0.0285714285714286,0.0542857142857143,0.0485714285714286,0.0571428571428571,0.0271428571428571,0.0371428571428571,0.0485714285714286,0.06
"1163",1163,0.101298701298701,0.0831168831168831,0.0337662337662338,0.0506493506493507,0.00649350649350649,0.0441558441558442,0.038961038961039,0.0857142857142857,0.0142857142857143,0.038961038961039,0.124675324675325,0.0311688311688312,0.0220779220779221,0.0246753246753247,0.087012987012987,0.0571428571428571,0.038961038961039,0.0350649350649351,0.0207792207792208,0.061038961038961,0.09
"345",345,0.112676056338028,0.0657276995305164,0.0375586854460094,0.0485133020344288,0.0156494522691706,0.0625978090766823,0.0594679186228482,0.0625978090766823,0.0234741784037559,0.0625978090766823,0.128325508607199,0.0344287949921753,0.0203442879499218,0.0359937402190923,0.0328638497652582,0.0579029733959311,0.0657276995305164,0.0125195618153365,0.0140845070422535,0.0469483568075117,0.09
"2992",2992,0.0549450549450549,0.0659340659340659,0.021978021978022,0.0494505494505494,0.00549450549450549,0.0604395604395604,0.0769230769230769,0.0549450549450549,0.032967032967033,0.0274725274725275,0.126373626373626,0.032967032967033,0.0384615384615385,0.032967032967033,0.0824175824175824,0.0274725274725275,0.0494505494505494,0.0274725274725275,0.0384615384615385,0.0934065934065934,0.09
"315",315,0.125813449023861,0.017353579175705,0.017353579175705,0.0195227765726681,0.00867678958785249,0.0238611713665944,0.0195227765726681,0.0802603036876356,0.0151843817787419,0.106290672451193,0.117136659436009,0.0303687635574837,0.0542299349240781,0.0477223427331887,0.0412147505422994,0.0802603036876356,0.0585683297180043,0.00433839479392625,0.0281995661605206,0.10412147505423,0.07
"2379",2379,0.0896309314586995,0.0509666080843585,0.0579964850615114,0.0579964850615114,0,0.0386643233743409,0.0562390158172232,0.0738137082601054,0.015817223198594,0.0527240773286467,0.121265377855888,0.031634446397188,0.015817223198594,0.0333919156414763,0.0456942003514939,0.0826010544815466,0.0738137082601054,0.0298769771528998,0.0105448154657293,0.0615114235500879,0.07
"1204",1204,0.102702702702703,0.0864864864864865,0.0486486486486487,0.0378378378378378,0.0162162162162162,0.0594594594594595,0.0594594594594595,0.0702702702702703,0.0486486486486487,0.0378378378378378,0.156756756756757,0.0216216216216216,0.0162162162162162,0.0162162162162162,0.027027027027027,0.0702702702702703,0.0378378378378378,0.0162162162162162,0.027027027027027,0.0432432432432432,0.04
"2750",2750,0.0659824046920821,0.0835777126099707,0.0410557184750733,0.0674486803519062,0.0102639296187683,0.0703812316715543,0.0410557184750733,0.092375366568915,0.0425219941348974,0.0395894428152493,0.0865102639296188,0.0249266862170088,0.0190615835777126,0.0146627565982405,0.0527859237536657,0.0557184750733138,0.0718475073313783,0.0175953079178886,0.0557184750733138,0.0469208211143695,0.01
"2899",2899,0.0944625407166124,0.0749185667752443,0.0390879478827362,0.0488599348534202,0.00977198697068404,0.0651465798045603,0.0488599348534202,0.0553745928338762,0.0325732899022801,0.0586319218241042,0.123778501628664,0.0260586319218241,0.0162866449511401,0.0358306188925081,0.0488599348534202,0.0488599348534202,0.0325732899022801,0.0195439739413681,0.0260586319218241,0.0944625407166124,0.07
"1453",1453,0.0977443609022556,0.0958646616541353,0.0281954887218045,0.0526315789473684,0.0112781954887218,0.0808270676691729,0.0488721804511278,0.0620300751879699,0.0206766917293233,0.0488721804511278,0.107142857142857,0.0338345864661654,0.0131578947368421,0.0526315789473684,0.0319548872180451,0.0695488721804511,0.056390977443609,0.0169172932330827,0.0206766917293233,0.0507518796992481,0.07
"207",207,0.123893805309735,0.0199115044247788,0.0530973451327434,0.0199115044247788,0,0.0309734513274336,0.0176991150442478,0.0907079646017699,0.00884955752212389,0.108407079646018,0.117256637168142,0.0287610619469027,0.0353982300884956,0.0685840707964602,0.0508849557522124,0.0575221238938053,0.0486725663716814,0.0199115044247788,0.0243362831858407,0.0752212389380531,0.05
"2883",2883,0.116981132075472,0.0490566037735849,0.0377358490566038,0.0490566037735849,0.0188679245283019,0.0584905660377358,0.0358490566037736,0.0811320754716981,0.0207547169811321,0.0490566037735849,0.107547169811321,0.030188679245283,0.0283018867924528,0.030188679245283,0.0471698113207547,0.0641509433962264,0.0547169811320755,0.0264150943396226,0.0207547169811321,0.0735849056603774,0.06
"237",237,0.117408906882591,0.0647773279352227,0.00404858299595142,0.0323886639676113,0.0161943319838057,0.0323886639676113,0.0202429149797571,0.11336032388664,0.0202429149797571,0.0607287449392713,0.186234817813765,0.0161943319838057,0.0404858299595142,0.0526315789473684,0.0202429149797571,0.0526315789473684,0.048582995951417,0.0121457489878543,0.0121457489878543,0.0769230769230769,0.03
"1789",1789,0.0894941634241245,0.0622568093385214,0.0505836575875486,0.066147859922179,0,0.0272373540856031,0.0389105058365759,0.0856031128404669,0.0116731517509728,0.0311284046692607,0.101167315175097,0.0311284046692607,0.0116731517509728,0.0389105058365759,0.0311284046692607,0.0583657587548638,0.11284046692607,0.0311284046692607,0.0778210116731518,0.0428015564202335,0.06
"2514",2514,0.0512820512820513,0.0299145299145299,0.0683760683760684,0.0341880341880342,0.0128205128205128,0.0512820512820513,0.00854700854700855,0.0256410256410256,0.0299145299145299,0.115384615384615,0.11965811965812,0.0811965811965812,0.0213675213675214,0.094017094017094,0.0512820512820513,0.0555555555555556,0.0299145299145299,0.0170940170940171,0.0512820512820513,0.0512820512820513,0.08
"115",115,0.134020618556701,0.0247422680412371,0.022680412371134,0.022680412371134,0.00824742268041237,0.0309278350515464,0.0268041237113402,0.0783505154639175,0.0123711340206186,0.0969072164948454,0.117525773195876,0.0391752577319588,0.045360824742268,0.0350515463917526,0.0577319587628866,0.0680412371134021,0.0577319587628866,0.0144329896907217,0.0164948453608247,0.0907216494845361,0.07
"2705",2705,0.129221732745962,0.052863436123348,0.0176211453744493,0.0440528634361234,0.0146842878120411,0.0631424375917768,0.0513950073421439,0.0895741556534508,0.026431718061674,0.0499265785609398,0.0954478707782673,0.039647577092511,0.0234948604992658,0.0381791483113069,0.0513950073421439,0.0543318649045521,0.0587371512481645,0.0117474302496329,0.013215859030837,0.0748898678414097,0.08
